record_index,stock,sentence_id,sentence_text,vader_compound_score
0,Nike,0,"RT @stardazzledd: Nike Windbreakers 💝

Shop: https://t.co/kgR2Ik4jFR

Free Shipping Worldwide 💕 https://t.co/aGAqU7AnXM",0.5106
1,Facebook,0,RT @RTAluvzAfridi: It’s all over Facebook.,0.0
1,Facebook,1,Twitter world needs to see this too.,0.0
1,Facebook,2,FIND HIM AND PROMOTE HIM.,0.3818
1,Facebook,3,He actually sang it AS GOOD AS…,0.5622
2,Google,0,"RT @warriors: “You are so much more than what Google told me &amp; now, fittingly, you are poised to be positioned among the elite of the elite…",0.25
3,nan,0,'Just walk out shopping': Amazon Go opens first Chicago location of its cashierless convenience store https://t.co/MyowDgunTw,0.1779
4,nan,0,@benGSchout I wish I knew!,0.4574
4,nan,1,I found it uncredited via a Google image search and have been trying to find the artist!,-0.3164
4,nan,2,Anyone know?,0.0
5,Nike,0,"The Nike Air Max Deluxe OG Is Releasing On August 10th
https://t.co/e0DSUBvIY6 https://t.co/Q0xwUJyYVk",0.0
6,31/10/2017,0,Next,0.0
7,nan,0,@Declan_Murphy82 @kujocelyn @GreenMtnBoy802 @FredTJoseph @Ryanair I woulda escalated my foot up his ass.,-0.5423
7,nan,1,If you don… https://t.co/TvUgnbQBkw,0.0
8,nan,0,RT @amyklobuchar: I got the polygraph test Dr. Ford took showing truthfulness about her account in the record.,0.4019
8,nan,1,To quote a judge: “law enfor…,0.0
9,02/09/2018,0,Netflix,0.0
10,nan,0,Google in its infancy.,0.0
10,nan,1,[452.365] https://t.co/JuCeJMCGYL https://t.co/Ps3J0LCd0I,0.0
11,nan,0,RT @YesWeCrann: Oh Nike... You’ve outdone yourselves with this one.,0.0
11,nan,1,And the soundtrack is 🔥🔥 https://t.co/IV92CkMJHR,0.0
12,29/12/2017,0,Costco,0.0
13,30/06/2017,0,eBay,0.0
14,Disney,0,"Disney is considering rehiring film director James Gunn, who was fired for pedophilic Tweets that surfaced.",-0.5574
14,Disney,1,Meanwhi… https://t.co/eC3Tk44J2y,0.0
15,17/09/2018,0,Amazon,0.1779
16,nan,0,Just saw this on eBay &gt;&gt; #1196 #deals #USA Kipling Elody Handbag https://t.co/vvNYoqF4fK,0.0
17,22/10/2018,0,Facebook,0.0
18,105.37,0,30/07/2018,0.0
19,Ford,0,"RT @1776Stonewall: So in 2012 Christine Ford claimed it was 4 men in the room when she was attacked, now she says there was only 2.",-0.4588
19,Ford,1,Her the…,0.0
20,31/01/2017,0,Cisco,0.0
21,03/09/2018,0,Apple,0.0
22,nan,0,Check out NWT TORY BURCH FELIZ SOUL STRIPE LATTICE BACK ONE-PIECE SWIMSUIT L LARGE   SFS #OnePiece https://t.co/le3iDkwSev via @eBay,0.0
23,112.48,0,16/08/2018,0.0
24,nan,0,Check out Christopher Blue Pants 6 Rust Stretch Cotton Casual Classic Fit Jeans Women's 6  https://t.co/TQmAbt4VSd via @eBay,0.5106
25,TMobile,0,"@USAOWWC @TMobile Check out my boutique
https://t.co/YCVboqHyXI",0.0
26,1777.44,0,31/07/2018,0.0
27,13/09/2018,0,Next,0.0
28,nan,0,I posted a new video to Facebook https://t.co/Oh8b9K6uqw,0.0
29,171.65,0,01/08/2018,0.0
30,83.31,0,15/07/2018,0.0
31,Nike,0,"RT @TitusONeilWWE: Dear #BoycottNike folks,
Instead of Burning/Trashing send whatever @Nike Gear you no longer want to me at this address…",0.1779
32,22/10/2018,0,Facebook,0.0
33,Netflix,0,"RT @WestSide_Do: *Me actually tryna Netflix &amp; Chill*

Her: Pull your dick out nigga damn!",-0.7424
33,Netflix,1,Me: https://t.co/X6k9U5y9wB,0.0
34,nan,0,RT @KicksDealsCA: We're expecting to receive the Nigel Sylvester x Air Jordan 1 High OG next weekend online at Nike CA in limited quantitie…,-0.2263
35,nan,0,Get my Snapchat for $30 Amazon gift card to princessraiiny@gmail.com add your username to note https://t.co/smHkLJn9xU,0.5574
36,79.51,0,06/08/2018,0.0
37,nan,0,@UrsTrulyMsJudy I love how neither of us mentioned Next though lmfao.,0.8271
38,nan,0,RT @verge: Netflix is testing video promos that play in between episodes https://t.co/T6K2eK1UsE https://t.co/Wv6BAkbGvu,0.34
39,nan,0,RT @PrettyboiiDB_9: White people can’t wait to put the grocery divider on the conveyor belt at Kroger... bitch I don’t want yo raisins too…,-0.5423
40,30/09/2018,0,Ford,0.0
41,27/10/2018,0,Microsoft,0.0
42,nan,0,Check out 2018 Spectra Saquon Barkley /99 Triple Relics Glove Silver Prizm Rookie RC https://t.co/KOY1UV3QSc @eBay,0.0
43,nan,0,RT @SvenRoyalChef: 11/40 #Lunchbox #Recipes from #SvensRecipeScrapBook -Baked Apple Chips- Have you ever considered making your very own Ho…,0.0
44,nan,0,Next week: Saturday 1st Sep,0.0
45,nan,0,Facebook cracks down on opioid dealers after years of neglect - https://t.co/2WOHZAdNxM https://t.co/HHIMXGubje,-0.4588
46,104.4,0,19/07/2018,0.0
47,nan,0,@tradingdotcom Still have Mike but I'll b*y for PayPal?,0.0
47,nan,1,:(,-0.4404
48,nan,0,@MarkFloydThaut @eBay You guys find the coolest Disney artifacts!!!!,0.0
48,nan,1,🎠🏰,0.0
49,nan,0,I posted a new video to Facebook https://t.co/XXIndh54Xj,0.0
